Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v4   2448758.780 B 15.103
v4   2448758.799 B 15.046
v4   2448758.830 B 15.215
v4   2448758.848 B 15.237
v4   2448758.878 B 15.287
v4   2448758.898 B 15.305
v4   2448758.918 B 15.298
v4   2448758.938 B 15.327
v4   2448759.759 B 14.964
v4   2448759.789 B 14.458
v4   2448759.803 B 14.328
v4   2448759.817 B 14.436
v4   2448759.836 B 14.565
v4   2448759.850 B 14.632
v4   2448759.865 B 14.699
v4   2448759.878 B 14.757
v4   2448759.892 B 14.822
v4   2448759.907 B 14.897
v4   2448759.921 B 15.057
v4   2448759.935 B 15.119
v4   2448760.662 B  0.000
v4   2448760.686 B 15.272
v4   2448760.709 B 15.326
v4   2448760.723 B 15.318
v4   2448760.737 B 15.370
v4   2448760.752 B 15.362
v4   2448760.766 B 15.359
v4   2448760.780 B 15.428
v4   2448760.799 B 15.385
v4   2448760.824 B 15.133
v4   2448760.839 B 15.062
v4   2448760.858 B 14.907
v4   2448760.872 B 14.901
v4   2448760.900 B 14.962
v4   2449085.867 B 14.928
v4   2449085.880 B 14.775
v4   2449085.894 B 14.864
v4   2449085.908 B 14.855
v4   2449085.923 B 14.941
v4   2449085.938 B 15.141
v4   2449085.952 B 15.077
v4   2449086.663 B 15.272
v4   2449086.677 B 15.270
v4   2449086.691 B 15.297
v4   2449086.712 B 15.364
v4   2449086.728 B 15.389
v4   2449086.744 B 15.408
v4   2449086.789 B 15.262
v4   2449086.805 B 14.950
v4   2449086.822 B 14.548
v4   2449086.836 B 14.458
v4   2449086.850 B 14.512
v4   2449086.864 B 14.726
